Mouse_ID,Experiment,RIN,Genotype,Sex,Age_months,RLIMS.ID,Seq.Run.ID,Lane.Number,Clusters,BAM_file_name
38,X357187,CRND8 ,7.8,-,F,3 ,1426605194,141121_D00190_0223_AC5PVPACXX,1,976,357187.FCC5PVPACXX_L1_ICGATGT.snap.bam
39,X366585,CRND8 ,7.7,-,M,3 ,1426605077,141119_SN730_0370_BC5NBHACXX,7,754,366585.FCC5NBHACXX_L7_IAGTTCC.snap.bam
40,X366584,CRND8 ,7.9,-,M,3 ,1426605186,141120_SN725_0445_BC5PJFACXX,6,765,366584.FCC5PJFACXX_L6_ICAGATC.snap.bam
41,X406505,CRND8 ,8.2,-,F,3 ,1428904933,141125_SN7001166_0306_AC44LLACXX,6,911,406505.FCC44LLACXX_L6_ICAGATC.snap.bam
42,X357201,CRND8 ,7.9,-,M,3 ,1426605067,141119_SN730_0370_BC5NBHACXX,4,751,357201.FCC5NBHACXX_L4_ICCGTCC.snap.bam
43,X357199,CRND8 ,7.8,-,M,3 ,1426605179,141120_SN725_0445_BC5PJFACXX,4,778,357199.FCC5PJFACXX_L4_ICCGTCC.snap.bam
44,X357174,CRND8 ,7.9,-,M,3 ,1428904673,141125_SN7001166_0306_AC44LLACXX,2,916,357174.FCC44LLACXX_L2_ICAGATC.snap.bam
45,X357147,CRND8 ,7.8,-,M,3 ,1428905109,141125_SN7001166_0306_AC44LLACXX,7,896,357147.FCC44LLACXX_L7_IATGTCA.snap.bam
46,X366597,CRND8 ,7.6,+,F,3 ,1426605170,141120_SN725_0445_BC5PJFACXX,1,801,366597.FCC5PJFACXX_L1_ICGATGT.snap.bam
47,X366596,CRND8 ,7.8,+,F,3 ,1426605182,141120_SN725_0445_BC5PJFACXX,5,807,366596.FCC5PJFACXX_L5_ICGATGT.snap.bam
48,X366595,CRND8 ,7.8,+,F,3 ,1428905110,141125_SN7001166_0306_AC44LLACXX,8,879,366595.FCC44LLACXX_L8_ICCGTCC.snap.bam
49,X366581,CRND8 ,7.9,+,F,3 ,1426605172,141120_SN725_0445_BC5PJFACXX,1,801,366581.FCC5PJFACXX_L1_IACAGTG.snap.bam
50,X366580,CRND8 ,7.7,+,F,3 ,1428903644,141121_D00190_0224_BC447VACXX,2,970,366580.FCC447VACXX_L2_IGCCAAT.snap.bam
51,X368433,CRND8,8,+,M,3 ,1426605199,141121_D00190_0223_AC5PVPACXX,3,1050,368433.FCC5PVPACXX_L3_IAGTCAA.snap.bam
